Unit_Price,Quantity,Discount,Total_Price,Customer_Type,Product,Category,Region,Cluster
1.0400000000000003,7.000000000000001,0.0,7.280000000000001,B2C,Coca-Cola,Soft Drinks,Bremen,0
0.71,46.0,0.1,29.389999999999997,B2B,Selters,Water,Sachsen-Anhalt,1
2.68,30.0,0.05,76.38,B2B,Monster,Soft Drinks,Schleswig-Holstein,2
0.9100000000000001,3.0,0.0,2.73,B2C,San Pellegrino,Water,Hessen,0
1.41,4.0,0.0,5.639999999999999,B2C,Beck's,Alcoholic Beverages,Bremen,0
0.86,3.0,0.0,2.58,B2C,San Pellegrino,Water,Berlin,0
1.64,6.0,0.0,9.84,B2C,Granini Apple,Juices,Rheinland-Pfalz,0
3.56,14.000000000000002,0.0,49.84,B2C,Cranberry Juice,Juices,Bayern,0
4.32,14.000000000000002,0.0,60.480000000000004,B2C,Riesling,Alcoholic Beverages,Saarland,0
1.59,12.0,0.0,19.08,B2C,Granini Apple,Juices,Schleswig-Holstein,0
4.19,15.0,0.0,62.85000000000001,B2C,Riesling,Alcoholic Beverages,Nordrhein-Westfalen,0
0.58,14.000000000000002,0.0,8.12,B2C,Vittel,Water,Baden-Württemberg,0
3.23,4.0,0.0,12.919999999999998,B2C,Tomato Juice,Juices,Thüringen,0
4.48,1.0,0.0,4.48,B2C,Merlot,Alcoholic Beverages,Nordrhein-Westfalen,0
0.49,2.0,0.0,0.98,B2C,Selters,Water,Bremen,0
0.56,7.000000000000001,0.0,3.92,B2C,Vittel,Water,Sachsen,0
1.6900000000000002,6.0,0.0,10.14,B2C,Granini Apple,Juices,Sachsen,0
4.19,8.0,0.0,33.52,B2C,Riesling,Alcoholic Beverages,Mecklenburg-Vorpommern,0
3.31,2.0,0.0,6.62,B2C,Mango Juice,Juices,Bremen,0
1.23,3.0,0.0,3.69,B2C,Evian,Water,Niedersachsen,0
2.34,7.000000000000001,0.0,16.38,B2C,Rockstar,Soft Drinks,Sachsen,0
2.45,13.0,0.0,31.850000000000005,B2C,Rauch Multivitamin,Juices,Berlin,0
1.23,3.0,0.0,3.69,B2C,Evian,Water,Thüringen,0
2.05,14.000000000000002,0.0,28.7,B2C,Fritz-Kola,Soft Drinks,Berlin,0
0.9600000000000001,4.0,0.0,3.8400000000000003,B2C,Apollinaris,Water,Bayern,0
2.77,42.0,0.1,104.71,B2B,Mango Juice,Juices,Sachsen-Anhalt,1
1.42,6.0,0.0,8.52,B2C,Volvic Touch,Water,Berlin,0
3.11,7.000000000000001,0.0,21.77,B2C,Passion Fruit Juice,Juices,Saarland,0
3.33,4.0,0.05,12.650000000000002,B2B,Passion Fruit Juice,Juices,Hamburg,2
1.9,24.0,0.05,43.32,B2B,Fritz-Kola,Soft Drinks,Sachsen,2
1.61,2.0,0.0,3.22,B2C,Vio Wasser,Water,Brandenburg,0
3.21,4.0,0.0,12.84,B2C,Mango Juice,Juices,Niedersachsen,0
5.73,5.0,0.1,25.79,B2B,Sauvignon Blanc,Alcoholic Beverages,Saarland,2
3.11,3.0,0.0,9.33,B2C,Passion Fruit Juice,Juices,Saarland,0
2.38,3.0,0.0,7.14,B2C,Rauch Multivitamin,Juices,Schleswig-Holstein,0
1.09,47.0,0.05,48.67,B2B,Sprite,Soft Drinks,Saarland,1
2.62,2.0,0.05,4.98,B2B,Mango Juice,Juices,Bayern,2
1.66,13.0,0.0,21.58,B2C,Vio Wasser,Water,Sachsen-Anhalt,0
3.0199999999999996,1.0,0.0,3.02,B2C,Passion Fruit Juice,Juices,Brandenburg,0
0.86,4.0,0.0,3.44,B2C,San Pellegrino,Water,Saarland,0
0.6099999999999999,8.0,0.0,4.88,B2C,Mezzo Mix,Soft Drinks,Nordrhein-Westfalen,0
2.35,3.0,0.0,7.05,B2C,Red Bull,Soft Drinks,Hamburg,0
2.32,47.0,0.1,98.14,B2B,Granini Apple,Juices,Bayern,1
0.64,6.0,0.05,3.65,B2B,Sprite,Soft Drinks,Berlin,2
2.34,11.0,0.0,25.740000000000002,B2C,Rockstar,Soft Drinks,Sachsen-Anhalt,0
1.24,16.0,0.05,18.85,B2B,Jever,Alcoholic Beverages,Rheinland-Pfalz,2
1.98,2.0,0.0,3.96,B2C,Erdinger Weißbier,Alcoholic Beverages,Saarland,0
0.46,8.0,0.0,3.68,B2C,Selters,Water,Sachsen-Anhalt,0
0.93,3.0,0.0,2.79,B2C,Apollinaris,Water,Niedersachsen,0
0.57,10.0,0.0,5.7,B2C,Volvic,Water,Mecklenburg-Vorpommern,0
1.46,4.0,0.0,5.84,B2C,Beck's,Alcoholic Beverages,Hessen,0
0.46,1.0,0.05,0.43999999999999995,B2B,Volvic,Water,Brandenburg,2
0.49,15.0,0.0,7.35,B2C,Selters,Water,Brandenburg,0
2.48,67.0,0.05,157.85,B2B,Rauch Multivitamin,Juices,Bremen,1
2.93,5.0,0.0,14.65,B2C,Passion Fruit Juice,Juices,Hessen,0
1.1,38.0,0.1,37.62,B2B,Volvic Touch,Water,Mecklenburg-Vorpommern,1
1.24,1.0,0.0,1.2400000000000002,B2C,Schwip Schwap,Soft Drinks,Bayern,0
2.42,27.0,0.1,58.81,B2B,Passion Fruit Juice,Juices,Berlin,2
0.9600000000000001,1.0,0.0,0.9600000000000001,B2C,Apollinaris,Water,Rheinland-Pfalz,0
1.59,11.0,0.0,17.49,B2C,Granini Apple,Juices,Berlin,0
2.45,5.0,0.0,12.25,B2C,Rauch Multivitamin,Juices,Bayern,0
1.12,12.0,0.0,13.44,B2C,Augustiner,Alcoholic Beverages,Thüringen,0
1.31,45.0,0.05,56.0,B2B,Erdinger Weißbier,Alcoholic Beverages,Berlin,1
0.62,48.0,0.1,26.78,B2B,Apollinaris,Water,Sachsen,1
1.02,10.0,0.0,10.2,B2C,Warsteiner,Alcoholic Beverages,Mecklenburg-Vorpommern,0
0.93,10.0,0.0,9.3,B2C,Mountain Dew,Soft Drinks,Brandenburg,0
0.99,3.0,0.0,2.97,B2C,Apollinaris,Water,Nordrhein-Westfalen,0
0.99,5.0,0.0,4.95,B2C,Apollinaris,Water,Nordrhein-Westfalen,0
0.93,12.0,0.0,11.16,B2C,Kölsch,Alcoholic Beverages,Hessen,0
4.879999999999999,11.0,0.0,53.68,B2C,Chardonnay,Alcoholic Beverages,Nordrhein-Westfalen,0
0.46,8.0,0.0,3.68,B2C,Selters,Water,Niedersachsen,0
4.35,9.0,0.0,39.15,B2C,Merlot,Alcoholic Beverages,Saarland,0
2.35,6.0,0.0,14.1,B2C,Red Bull,Soft Drinks,Rheinland-Pfalz,0
0.49,5.0,0.0,2.45,B2C,Selters,Water,Baden-Württemberg,0
1.37,1.0,0.0,1.3699999999999999,B2C,Beck's,Alcoholic Beverages,Brandenburg,0
0.58,8.0,0.0,4.64,B2C,Volvic,Water,Saarland,0
0.9600000000000001,15.0,0.0,14.4,B2C,Mountain Dew,Soft Drinks,Berlin,0
0.49,15.0,0.0,7.35,B2C,Selters,Water,Bremen,0
2.07,26.0,0.05,51.13,B2B,Rauch Multivitamin,Juices,Saarland,2
0.6,17.0,0.05,9.69,B2B,Mezzo Mix,Soft Drinks,Sachsen-Anhalt,2
1.86,3.0,0.0,5.58,B2C,Hohes C Orange,Juices,Niedersachsen,0
1.75,9.0,0.0,15.75,B2C,Hohes C Orange,Juices,Schleswig-Holstein,0
3.12,5.0,0.0,15.600000000000001,B2C,Mango Juice,Juices,Mecklenburg-Vorpommern,0
1.2,12.0,0.0,14.4,B2C,Schwip Schwap,Soft Drinks,Bayern,0
1.38,7.000000000000001,0.0,9.66,B2C,Volvic Touch,Water,Bayern,0
0.9600000000000001,6.0,0.0,5.759999999999999,B2C,Mountain Dew,Soft Drinks,Brandenburg,0
2.26,13.0,0.0,29.38,B2C,Club Mate,Soft Drinks,Rheinland-Pfalz,0
0.95,15.0,0.05,13.54,B2B,Pepsi,Soft Drinks,Schleswig-Holstein,2
0.63,11.0,0.0,6.930000000000001,B2C,Mezzo Mix,Soft Drinks,Hamburg,0
2.59,33.0,0.05,81.2,B2B,Cranberry Juice,Juices,Bremen,1
1.0700000000000003,15.0,0.0,16.05,B2C,Coca-Cola,Soft Drinks,Brandenburg,0
2.93,4.0,0.0,11.72,B2C,Passion Fruit Juice,Juices,Hessen,0
0.38,28.999999999999996,0.05,10.47,B2B,Vittel,Water,Niedersachsen,2
2.31,28.000000000000004,0.05,61.45,B2B,Rauch Multivitamin,Juices,Sachsen-Anhalt,2
0.99,10.0,0.0,9.9,B2C,Mountain Dew,Soft Drinks,Bayern,0
2.76,48.0,0.1,119.23,B2B,Cranberry Juice,Juices,Baden-Württemberg,1
2.04,4.0,0.0,8.16,B2C,Erdinger Weißbier,Alcoholic Beverages,Berlin,0
1.66,67.0,0.1,100.1,B2B,Krombacher,Alcoholic Beverages,Bremen,1
1.13,39.0,0.1,39.66,B2B,Selters,Water,Brandenburg,1
2.05,28.000000000000004,0.1,51.66,B2B,Club Mate,Soft Drinks,Nordrhein-Westfalen,2
3.67,7.000000000000001,0.0,25.69,B2C,Cranberry Juice,Juices,Rheinland-Pfalz,0
1.25,49.0,0.05,58.18999999999999,B2B,Jever,Alcoholic Beverages,Mecklenburg-Vorpommern,1
2.39,61.0,0.05,138.5,B2B,Club Mate,Soft Drinks,Bremen,1
1.1,6.0,0.0,6.6,B2C,Coca-Cola,Soft Drinks,Sachsen,0
